job,method,cutoff,seed,reused,train_n,dimensions,numerical_rank,minimum_singular_value,minimum_raw_sd,maximum_raw_sd,floored_coordinates
learned_2014-12-31_20260910,learned_probe,2014-12-31,20260910,False,1077,25,25,0.31406637426312195,0.011982545739651023,1.1190726242972704,0
learned_2014-12-31_20260911,learned_probe,2014-12-31,20260911,False,1077,25,25,0.875263732141964,0.042975532349997764,1.2556381447137832,0
learned_2014-12-31_20260912,learned_probe,2014-12-31,20260912,False,1077,25,25,5.629122881233287,0.01102518801420934,0.046813099900147995,0
learned_2015-12-31_20260910,learned_probe,2015-12-31,20260910,False,1190,25,25,0.6787056131600753,0.2716009867996292,1.2660143738378238,0
learned_2015-12-31_20260911,learned_probe,2015-12-31,20260911,False,1190,25,25,1.0424162567818436,0.09290023040851962,0.8209925401276023,0
learned_2015-12-31_20260912,learned_probe,2015-12-31,20260912,False,1190,25,25,1.1462995907805573,0.030593210575263638,1.0667021481682266,0
learned_2016-12-31_20260910,learned_probe,2016-12-31,20260910,False,1434,25,25,0.7375414501348271,0.22444246567859008,1.195954566157614,0
learned_2016-12-31_20260911,learned_probe,2016-12-31,20260911,False,1434,25,25,0.6038428891518125,0.08760205682437992,0.8863550451499819,0
learned_2016-12-31_20260912,learned_probe,2016-12-31,20260912,False,1434,25,25,2.33646577868751,0.013481874237827611,0.1639294771236039,0
raw_2014-12-31_-1,raw25_probe,2014-12-31,-1,False,1077,25,25,2.522604115079897,0.0008204519825183107,0.6195961062955764,0
raw_2015-12-31_-1,raw25_probe,2015-12-31,-1,False,1190,25,25,1.537833385625464,0.0009807469934477293,0.6762725721920394,0
raw_2016-12-31_-1,raw25_probe,2016-12-31,-1,False,1434,25,25,2.64672210875204,0.0009498196045159884,0.6937125083209179,0
raw_2017-12-31_-1,raw25_probe,2017-12-31,-1,False,1678,25,25,2.478805137742053,0.0009157682677507535,0.6605103478771766,0
raw_2018-12-31_-1,raw25_probe,2018-12-31,-1,False,1921,25,25,2.738049546528517,0.0009225101715383804,0.6376836259985731,0
raw_2019-12-31_-1,raw25_probe,2019-12-31,-1,False,2165,25,25,3.0264685504375577,0.0008989046886370275,0.6407251125827087,0
learned_2017-12-31_20260910,learned_probe,2017-12-31,20260910,True,1678,25,25,2.3395979836139356,0.0593020165100095,1.0942448727178353,0
learned_2017-12-31_20260911,learned_probe,2017-12-31,20260911,True,1678,25,25,1.413647931952524,0.07324517839457738,1.0027513852119712,0
learned_2017-12-31_20260912,learned_probe,2017-12-31,20260912,True,1678,25,25,0.6764729631663233,0.20189564803618268,0.8958660365232871,0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,True,1921,25,25,0.8471308380584225,0.3514145174019841,2.0420447962334576,0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,True,1921,25,25,0.7423430596802728,0.33055726604496977,1.057066434137703,0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,True,1921,25,25,1.2871450658872063,0.027108227219819883,1.1026645946009952,0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,True,2165,25,25,1.1012820649668864,0.05344719535829416,1.3798987554383735,0
learned_2019-12-31_20260911,learned_probe,2019-12-31,20260911,True,2165,25,25,0.8148366720684841,0.1782597593424174,1.1073177198115516,0
learned_2019-12-31_20260912,learned_probe,2019-12-31,20260912,True,2165,25,25,0.7513839103604453,0.13911843499042162,1.0791712896342023,0
